Date,Year,Month,Day,Daily_Rainfall_Total_mm,Highest_30_Min_Rainfall_mm,Highest_60_Min_Rainfall_mm,Highest_120_Min_Rainfall_mm,Mean_Temperature_C,Maximum_Temperature_C,Minimum_Temperature_C,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
1999_04_07,1999,4,7,2.876923077,0,0,0,27,31.76,24.46,7.8,28.1
1999_04_08,1999,4,8,2.369230769,0,0,0,28.2,33.48,24.7,10.2,35.6
1999_04_09,1999,4,9,0.453846154,0,0,0,27.55,32.66,25,9.38,36.7
1999_04_10,1999,4,10,4.55,0,0,0,27.55,31.04,24.26,8.26,26.6
1999_04_11,1999,4,11,0.092307692,0,0,0,28.875,33.34,25.7,6.94,19.4
1999_04_12,1999,4,12,0.134615385,0,0,0,28.975,33.4,25.72,8,24.5
1999_04_13,1999,4,13,0.011538462,0,0,0,28.675,32.84,25.96,6.38,22.7
1999_04_14,1999,4,14,6.703846154,0,0,0,29.3,34.34,25.16,9.9,30.6
1999_04_15,1999,4,15,3.169230769,0,0,0,26.65,28.5,23.92,5.14,28.8
1999_04_16,1999,4,16,1.134615385,0,0,0,27.9,32.62,24.62,8.72,34.9
1999_04_17,1999,4,17,2,0,0,0,27.725,33.32,23.96,7.08,29.2
1999_04_18,1999,4,18,0,0,0,0,27.7,33.62,24.3,9,30.6
1999_04_19,1999,4,19,0,0,0,0,28.525,33.8,24.42,7.96,25.2
1999_04_20,1999,4,20,0.880769231,0,0,0,28.05,32.5,24.96,5.5,23
1999_04_21,1999,4,21,6.019230769,0,0,0,26.875,31.48,24.4,6.32,37.8
1999_04_22,1999,4,22,0.003846154,0,0,0,28.95,33.8,24.7,10.74,27
1999_04_23,1999,4,23,0,0,0,0,28.95,34.06,24.6,11.72,34.2
1999_04_24,1999,4,24,0,0,0,0,29.325,34.32,25,8.6,28.8
1999_04_25,1999,4,25,1.334615385,0,0,0,28.2,32.46,25.44,7.96,34.2
1999_04_26,1999,4,26,18.16538462,0,0,0,28.225,32.66,25.12,8.38,28.4
1999_04_27,1999,4,27,5.380769231,0,0,0,27.575,31.58,24.36,10.68,36.4
1999_04_28,1999,4,28,0.180769231,0,0,0,28.725,32.9,25.54,8.56,36
1999_04_29,1999,4,29,4.873076923,0,0,0,28,32.22,25.72,7.62,37.8
